Producto,"Producto, nombre",Subfamilia,Nº productos,Nº Documentos,Nº items (líneas),Cantidad,Cant. confirmada,Importe bruto (euro),Importe dto. (euro),% Dto. Efectivo,Importe (euro),Unnamed: 12
CA150664,KH-SACO VACIO BALSAS 4-6PL.,MATB,1,2,2,"115,000000000","12,000000000","1018,336900000000000000","-0,003100000000000000","0,000","1018,34",
CA150665,KH-SACO VACIO BALSAS 8-12PL.,MATB,1,2,2,"110,000000000","10,000000000","1066,600000000000000000","0,000000000000000000","0,000","1066,60",
CA150682,REFLECTOR DE RADAR VELEROS-2 (90251164),REFLE,1,1,1,"2,000000000","2,000000000","45,420000000000000000","20,440000000000000000","45,002","24,98",
CA150704,BOBINA CHALECO AUTOMATICO JS 1,MATC,1,2,2,"24,000000000","24,000000000","316,400000000000000000","0,000000000000000000","0,000","316,40",
CA150729,KH-VALVULA INFLADO SUPERIOR KIT BALSA KHD NVA.08,MATV,1,1,1,"20,000000000","0,000000000","160,000000000000000000","0,000000000000000000","0,000","160,00",
CA150730,KH-VALVULA INFLADO INFERIOR KIT BALSA KHD NVA.08 (5),MATV,1,1,1,"20,000000000","0,000000000","160,000000000000000000","0,000000000000000000","0,000","160,00",
CA150759,KH-VALVULA ENTRADA NO RETOR.SOLAS CAMARA SUP.,MATB,1,1,1,"15,000000000","0,000000000","169,500000000000000000","0,000000000000000000","0,000","169,50",
CA150761,KH-LLAVE(THANNER) SISTEMA HINCHADO KHYF-KHYSRF,MATB,1,2,2,"30,000000000","0,000000000","1140,000000000000000000","0,000000000000000000","0,000","1140,00",
CA150775,PRECINTO PLASTICO SIGNODE,MATB,1,1,1,"1,000000000","1,000000000","0,040000000000000000","0,000000000000000000","0,000","0,04",
CA150781,PARCHE SUJECCION INSTALACION DANIAMANT,MATV,1,2,2,"25,000000000","25,000000000","47,383310000000000000","0,003310000000000000","0,007","47,38",
CA150804,KIT LINTERNA LED+ BAT.,MATB,1,2,2,"33,000000000","33,000000000","307,086666000000000000","101,216666000000000000","32,960","205,87",
CA150925,Red de rescate 2m fibra carbono,MAFB,1,1,1,"1,000000000","1,000000000","923,274612000000000000","0,004612000000000000","0,000","923,27",
CA151005,KH-EQUIPO REPARACION VALVULA  (SP-3-005),MATB,1,1,1,"20,000000000","0,000000000","251,400000000000000000","0,000000000000000000","0,000","251,40",
